job_id,title,company,location,job_url,source,search_term,scraped_at,applied,notes
21ef0fc412c51d9c,Full Stack Developer,Alphanso Technology,"Rajkot, Gujarat",https://in.indeed.com/viewjob?jk=21ef0fc412c51d9c,Indeed,Software Developer,2026-05-30 14:05,No,
acf32d93f499340b,Engineer Software,Empower,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=acf32d93f499340b,Indeed,Software Developer,2026-05-30 14:05,No,
1efcd82f74298429,CNC Operator Cum Setter Cum Programmer,Bhuj Polymers pvt ltd,"Mundra, Gujarat",https://in.indeed.com/viewjob?jk=1efcd82f74298429,Indeed,Software Developer,2026-05-30 14:05,No,
af4654fa8f479de9,Full Stack Engineer Python react HYD,Optum,"Hyderabad, Telangana",https://in.indeed.com/viewjob?jk=af4654fa8f479de9,Indeed,Software Developer,2026-05-30 14:05,No,
658e2df913faab1b,VMC Operator Cum Setter Cum Programmer,Bhuj Polymers pvt ltd,"Mundra, Gujarat",https://in.indeed.com/viewjob?jk=658e2df913faab1b,Indeed,Software Developer,2026-05-30 14:05,No,
2390f6b22c82e428,CNC / VMC Programmer,RanVac Technologies Pvt Ltd,"Nelamangala, Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=2390f6b22c82e428,Indeed,Software Developer,2026-05-30 14:05,No,
1bffab29230cba5c,Full Stack Developer Intern,S S G K & Associates,"Coimbatore, Tamil Nadu",https://in.indeed.com/viewjob?jk=1bffab29230cba5c,Indeed,Software Developer Intern,2026-05-30 14:06,No,
21faf9f0b90b00b8,Software Tester Intern,Noviindus Technologies,"Calicut, Kerala",https://in.indeed.com/viewjob?jk=21faf9f0b90b00b8,Indeed,Software Developer Intern,2026-05-30 14:06,No,
0c4eebfcabd35eb5,React Developer Intern,Satmat Technologies,"Viman Nagar, Pune, Maharashtra",https://in.indeed.com/viewjob?jk=0c4eebfcabd35eb5,Indeed,Software Developer Intern,2026-05-30 14:06,No,
ca99dbd03c105980,Python Developer Internship,Adsquaretech Solutions,Remote,https://in.indeed.com/viewjob?jk=ca99dbd03c105980,Indeed,Software Developer,2026-05-30 14:41,No,
